date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:20	71466/71466	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:37:10%20GMT	https://www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292.html?seite=all	/home/alexander/websites/heise/www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-47832929815.html	(from https://www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292.html)
13:37:21	62996/62996	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2005:01:39%20GMT	https://www.heise.de/tp/features/OECD-raeumt-ein-Mit-der-Weltwirtschaft-geht-es-nun-bergab-4673604.html	/home/alexander/websites/heise/www.heise.de/tp/features/OECD-raeumt-ein-Mit-der-Weltwirtschaft-geht-es-nun-bergab-4673604.html	(from https://www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292.html)
13:37:23	63824/63824	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:22:02%20GMT	https://www.heise.de/tp/features/Tausende-Tote-zu-spaet-reduziert-Spanien-Aktivitaeten-auf-die-Basisversorgung-4692760.html	/home/alexander/websites/heise/www.heise.de/tp/features/Tausende-Tote-zu-spaet-reduziert-Spanien-Aktivitaeten-auf-die-Basisversorgung-4692760.html	(from https://www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292.html)
13:37:23	59181/59181	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202020%2022:04:01%20GMT	https://www.heise.de/tp/features/Coronavirus-sorgt-fuer-immer-heftigere-Crashs-an-den-Boersen-4684123.html	/home/alexander/websites/heise/www.heise.de/tp/features/Coronavirus-sorgt-fuer-immer-heftigere-Crashs-an-den-Boersen-4684123.html	(from https://www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292.html)
13:37:24	55062/55062	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:30:44%20GMT	https://www.heise.de/tp/features/Schlechte-Nachrichten-fuer-Trump-Hydroxychloroquin-taugt-nicht-viel-4782683.html	/home/alexander/websites/heise/www.heise.de/tp/features/Schlechte-Nachrichten-fuer-Trump-Hydroxychloroquin-taugt-nicht-viel-4782683.html	(from https://www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292.html)
13:37:25	66945/66945	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2009:44:32%20GMT	https://www.heise.de/tp/features/Zum-Glueck-bleibt-uns-Portugal-4713545.html	/home/alexander/websites/heise/www.heise.de/tp/features/Zum-Glueck-bleibt-uns-Portugal-4713545.html	(from https://www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292.html)
13:37:26	58325/58325	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2009:51:59%20GMT	https://www.heise.de/tp/features/Dreifache-Zahl-der-Coronavirus-Toten-in-Italien-4710058.html	/home/alexander/websites/heise/www.heise.de/tp/features/Dreifache-Zahl-der-Coronavirus-Toten-in-Italien-4710058.html	(from https://www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292.html)
13:37:27	64112/64112	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2010:38:12%20GMT	https://www.heise.de/tp/features/Umgang-mit-Pflegebeduerftigen-in-Madrider-Altenheimen-An-der-Grenze-zur-Euthanasie-4779374.html	/home/alexander/websites/heise/www.heise.de/tp/features/Umgang-mit-Pflegebeduerftigen-in-Madrider-Altenheimen-An-der-Grenze-zur-Euthanasie-4779374.html	(from https://www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292.html)
13:37:29	58531/58531	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:37:28%20GMT	https://www.heise.de/tp/features/Covid-19-Nichts-waere-schlimmer-als-den-Sieg-zu-verkuenden-bevor-er-errungen-ist-4693364.html	/home/alexander/websites/heise/www.heise.de/tp/features/Covid-19-Nichts-waere-schlimmer-als-den-Sieg-zu-verkuenden-bevor-er-errungen-ist-4693364.html	(from https://www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292.html)
13:37:29	63750/63750	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:36:57%20GMT	https://www.heise.de/tp/features/Wenn-die-Europaeische-Zentralbank-freihaendig-jongliert-4687464.html	/home/alexander/websites/heise/www.heise.de/tp/features/Wenn-die-Europaeische-Zentralbank-freihaendig-jongliert-4687464.html	(from https://www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292.html)
13:37:30	48884/48884	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2009:40:33%20GMT	https://www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292.html?view=print	/home/alexander/websites/heise/www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292aa88.html	(from https://www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292.html)
13:37:31	60620/60620	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2001:41:22%20GMT	https://www.heise.de/tp/features/Die-baskische-ETA-ist-nun-Geschichte-4041140.html	/home/alexander/websites/heise/www.heise.de/tp/features/Die-baskische-ETA-ist-nun-Geschichte-4041140.html	(from https://www.heise.de/tp/features/CIA-Spanischer-Sozialdemokrat-Gonzalez-war-Senor-X-der-Todesschwadronen-4784545.html)
13:37:32	54455/54455	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:08:47%20GMT	https://www.heise.de/tp/features/Terrorbekaempfung-auf-sozialistisch-3434499.html	/home/alexander/websites/heise/www.heise.de/tp/features/Terrorbekaempfung-auf-sozialistisch-3434499.html	(from https://www.heise.de/tp/features/CIA-Spanischer-Sozialdemokrat-Gonzalez-war-Senor-X-der-Todesschwadronen-4784545.html)
